date_stamp;sku;quantity_sold
2022-01-06;10129;6.0
2022-01-06;10157;6.0
2022-01-06;10144;6.0
2022-01-06;10123;3.0
2022-01-06;10199;1.0
2022-01-06;10154;2.0
2022-01-06;10125;1.0
2022-01-06;10203;1.0
2022-01-06;10127;9.0
2022-01-06;10188;5.0
2022-01-06;10102;3.0
2022-01-06;10106;20.0
2022-01-06;10113;1.0
2022-01-06;10135;1.0
2022-01-06;10117;3.0
2022-01-06;10136;2.0
2022-01-06;10118;2.0
2022-01-06;10104;3.0
2022-01-06;10105;1.0
2022-01-06;10168;2.0
2022-01-06;10173;9.0
2022-01-06;10189;13.0
2022-01-06;10132;4.0
2022-01-06;10197;1.0
2022-01-06;10103;2.0
2022-01-06;10220;1.0
2022-01-06;10211;6.0
2022-01-06;10100;17.0
2022-01-06;10108;1.0
2022-01-06;10107;4.0
2022-01-06;10140;10.0
2022-01-06;10170;3.0
2022-01-06;10119;7.0
2022-01-06;10121;2.0
2022-01-06;10190;8.0
2022-01-06;10151;21.0
2022-01-06;10133;8.0
2022-01-06;10120;4.0
2022-01-06;10109;1.0
2022-01-06;10178;2.0
2022-01-06;10212;1.0
2022-01-06;10175;9.0
2022-01-06;10216;1.0
2022-01-06;10124;6.0
2022-01-06;10177;2.0
2022-01-06;10150;9.0
2022-01-07;10149;15.0
2022-01-07;10110;5.0
2022-01-07;10193;2.0
2022-01-07;10217;2.0
2022-01-07;10194;2.0
2022-01-07;10191;4.0
2022-01-07;10126;50.0
2022-01-07;10167;3.0
2022-01-07;10156;3.0
2022-01-07;10196;1.0
2022-01-07;10181;3.0
2022-01-07;10180;1.0
2022-01-07;10129;8.0
2022-01-07;10143;1.0
2022-01-07;10199;1.0
2022-01-07;10154;1.0
2022-01-07;10208;1.0
2022-01-07;10127;7.0
2022-01-07;10188;4.0
2022-01-07;10101;8.0
2022-01-07;10102;4.0
2022-01-07;10106;18.0
2022-01-07;10113;7.0
2022-01-07;10135;1.0
2022-01-07;10117;5.0
2022-01-07;10136;1.0
2022-01-07;10118;2.0
2022-01-07;10104;2.0
2022-01-07;10173;1.0
2022-01-07;10189;19.0
2022-01-07;10122;1.0
2022-01-07;10132;1.0
2022-01-07;10198;1.0
2022-01-07;10197;1.0
2022-01-07;10103;2.0
2022-01-07;10165;1.0
2022-01-07;10220;1.0
2022-01-07;10218;1.0
2022-01-07;10211;6.0
2022-01-07;10213;1.0
2022-01-07;10163;1.0
2022-01-07;10100;19.0
2022-01-07;10107;1.0
2022-01-07;10140;2.0
2022-01-07;10170;3.0
2022-01-07;10119;10.0
2022-01-07;10121;16.0
2022-01-07;10190;17.0
2022-01-07;10151;38.0
2022-01-07;10133;10.0
2022-01-07;10120;2.0
2022-01-07;10178;2.0
2022-01-07;10212;7.0
2022-01-07;10175;10.0
2022-01-07;10216;1.0
2022-01-07;10124;3.0
2022-01-07;10150;2.0
2022-01-08;10149;1.0
2022-01-08;10110;16.0
2022-01-08;10193;4.0
2022-01-08;10145;1.0
2022-01-08;10182;2.0
2022-01-08;10112;3.0
2022-01-08;10194;2.0
2022-01-08;10172;9.0
2022-01-08;10191;18.0
2022-01-08;10126;146.0
2022-01-08;10167;3.0
2022-01-08;10156;5.0
2022-01-08;10179;1.0
2022-01-08;10181;3.0
2022-01-08;10180;7.0
2022-01-08;10141;1.0
2022-01-08;10129;1.0
2022-01-08;10192;3.0
2022-01-08;10157;5.0
2022-01-08;10161;4.0
2022-01-08;10144;3.0
2022-01-08;10143;2.0
2022-01-08;10130;1.0
2022-01-08;10199;1.0
2022-01-08;10200;1.0
2022-01-08;10162;1.0
2022-01-08;10125;2.0
2022-01-08;10134;2.0
2022-01-08;10127;17.0
2022-01-08;10139;1.0
2022-01-08;10188;5.0
2022-01-08;10160;3.0
2022-01-08;10101;5.0
2022-01-08;10102;11.0
2022-01-08;10106;28.0
2022-01-08;10113;16.0
2022-01-08;10111;1.0
2022-01-08;10135;7.0
2022-01-08;10117;12.0
2022-01-08;10136;2.0
2022-01-08;10118;2.0
2022-01-08;10104;3.0
2022-01-08;10105;1.0
2022-01-08;10173;9.0
2022-01-08;10189;25.0
2022-01-08;10122;2.0
2022-01-08;10132;4.0
2022-01-08;10158;1.0
2022-01-08;10198;5.0
2022-01-08;10197;1.0
2022-01-08;10155;1.0
2022-01-08;10116;7.0
2022-01-08;10115;1.0
2022-01-08;10103;4.0
2022-01-08;10165;5.0
2022-01-08;10174;1.0
2022-01-08;10220;7.0
2022-01-08;10211;23.0
2022-01-08;10100;30.0
2022-01-08;10108;3.0
2022-01-08;10107;3.0
2022-01-08;10140;27.0
2022-01-08;10170;2.0
2022-01-08;10119;13.0
2022-01-08;10121;13.0
2022-01-08;10190;6.0
